content_state	category_path	content_created_by_user_username	content_modified_by_user_id	content_created_date	content_modified_date	content_hits	content_id	content_alias
1	sample-data-articles/joomla/extensions/plugins	technical-support	0	2011-01-01 00:00:01	?	0.0	62.0	content-plugins
1	sample-data-articles/park-site/photo-gallery/scenery	joomleira	592	2011-01-01 00:00:01	2021-01-21 23:48:54	1000.0	64.0	blue-mountain-rain-forest
1	sample-data-articles/park-site/photo-gallery/scenery	joomleira	592	2011-01-01 00:00:01	2021-01-21 23:48:41	1000.0	65.0	ormiston-pound
1	sample-data-articles/joomla/extensions/modules/user-modules	technical-support	0	2011-01-01 00:00:01	?	0.0	66.0	latest-users-module
2	uncategorised	technical-support	0	2011-01-01 00:00:01	?	0.0	67.0	whats-new-in-15
1	sample-data-articles/joomla/extensions/plugins	technical-support	0	2011-01-01 00:00:01	?	0.0	68.0	captcha
1	sample-data-articles/joomla/extensions/plugins	technical-support	0	2011-01-01 00:00:01	?	0.0	69.0	quick-icons
1	sample-data-articles/joomla/extensions/modules/utility-modules	technical-support	0	2011-01-01 00:00:01	?	0.0	70.0	smart-search
1	sample-data-articles/joomla/extensions/modules/articles-modules		371	2013-10-31 00:14:17	2013-10-31 00:39:09	28.0	71.0	similar-tags
1	sample-data-articles/joomla/extensions/modules/articles-modules		371	2013-10-31 00:43:46	2013-10-31 00:50:38	13.0	72.0	popular-tags
