"content_id","content_state","category_id","category_path","tag_id","tag_path","content_created_by_user_id","content_created_by_user_username","content_modified_by_user_id","content_created_by_alias","content_created_date","content_modified_date","content_hits","content_alias"
31,1,64,sample-data-articles/joomla/extensions/modules/articles-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,1,news-flash
32,1,19,sample-data-articles/joomla,,,42,,0,Joomla,2011-01-01 00:00:01,,0,options
33,1,72,sample-data-articles/park-site/photo-gallery/animals,,,42,,0,Joomla,2011-01-01 00:00:01,,0,phyllopteryx
34,1,73,sample-data-articles/park-site/photo-gallery/scenery,,,42,,0,Joomla,2011-01-01 00:00:01,,0,pinnacles
35,1,19,sample-data-articles/joomla,,,42,,0,Joomla,2011-01-01 00:00:01,,0,professionals
36,1,66,sample-data-articles/joomla/extensions/modules/display-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,1,random-image-module
37,1,64,sample-data-articles/joomla/extensions/modules/articles-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,1,related-items-module
38,1,19,sample-data-articles/joomla,,,42,,0,Joomla,2011-01-01 00:00:01,,0,sample-sites
39,1,21,sample-data-articles/joomla/extensions/components,,,42,,0,Joomla,2011-01-01 00:00:01,,0,search-component
40,1,67,sample-data-articles/joomla/extensions/modules/utility-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,1,search-module
41,1,25,sample-data-articles/joomla/extensions/plugins,,,42,,0,Joomla,2011-01-01 00:00:01,,0,search-plugin
42,1,14,sample-data-articles,,,42,,0,Joomla,2011-01-01 00:00:01,,0,site-map
43,1,72,sample-data-articles/park-site/photo-gallery/animals,,,42,,0,Joomla,2011-01-01 00:00:01,,0,spotted-quoll
44,1,67,sample-data-articles/joomla/extensions/modules/utility-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,0,statistics
45,1,67,sample-data-articles/joomla/extensions/modules/utility-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,1,syndicate-module
46,1,25,sample-data-articles/joomla/extensions/plugins,,,42,,0,Joomla,2011-01-01 00:00:01,,0,system
47,1,19,sample-data-articles/joomla,,,42,,0,Joomla,2011-01-01 00:00:01,,0,the-joomla-community
48,1,19,sample-data-articles/joomla,,,42,,0,Joomla,2011-01-01 00:00:01,,0,the-joomla-project
49,1,23,sample-data-articles/joomla/extensions/templates,,,42,,0,Joomla,2011-01-01 00:00:01,,0,typography
50,1,19,sample-data-articles/joomla,,,42,,0,Joomla,2011-01-01 00:00:01,,0,upgraders
51,1,25,sample-data-articles/joomla/extensions/plugins,,,42,,0,Joomla,2011-01-01 00:00:01,,0,user-plugins
52,1,21,sample-data-articles/joomla/extensions/components,,,42,,0,Joomla,2011-01-01 00:00:01,,0,users-component
53,1,19,sample-data-articles/joomla,,,42,,0,Joomla,2011-01-01 00:00:01,,0,using-joomla
56,1,65,sample-data-articles/joomla/extensions/modules/user-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,1,whos-online
57,1,72,sample-data-articles/park-site/photo-gallery/animals,,,42,,0,Joomla,2011-01-01 00:00:01,,0,wobbegone
58,1,30,sample-data-articles/fruit-shop-site/growers,,,42,,0,Joomla,2011-01-01 00:00:01,,0,wonderful-watermelon
59,1,67,sample-data-articles/joomla/extensions/modules/utility-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,0,wrapper-module
60,1,21,sample-data-articles/joomla/extensions/components,,,42,,0,Joomla,2011-01-01 00:00:01,,1,news-feeds
61,1,75,sample-data-articles/joomla/extensions/modules/navigation-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,1,breadcrumbs-module
62,1,25,sample-data-articles/joomla/extensions/plugins,,,42,,0,Joomla,2011-01-01 00:00:01,,0,content-plugins
64,1,73,sample-data-articles/park-site/photo-gallery/scenery,,,42,,0,Joomla,2011-01-01 00:00:01,,0,blue-mountain-rain-forest
65,1,73,sample-data-articles/park-site/photo-gallery/scenery,,,42,,0,Joomla,2011-01-01 00:00:01,,0,ormiston-pound
66,1,65,sample-data-articles/joomla/extensions/modules/user-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,0,latest-users-module
67,2,9,uncategorised,,,42,,0,Joomla,2011-01-01 00:00:01,,0,whats-new-in-15
68,1,25,sample-data-articles/joomla/extensions/plugins,,,42,,0,Joomla,2011-01-01 00:00:01,,0,captcha
69,1,25,sample-data-articles/joomla/extensions/plugins,,,42,,0,Joomla,2011-01-01 00:00:01,,0,quick-icons
70,1,67,sample-data-articles/joomla/extensions/modules/utility-modules,,,42,,0,Joomla,2011-01-01 00:00:01,,0,smart-search
71,1,64,sample-data-articles/joomla/extensions/modules/articles-modules,"2",red,371,,371,"",2013-10-31 00:14:17,2013-10-31 00:39:09,5,similar-tags
72,1,64,sample-data-articles/joomla/extensions/modules/articles-modules,,,371,,371,"",2013-10-31 00:43:46,2013-10-31 00:50:38,11,popular-tags
